Source.Name,Statement,Output
kannada,Sorry sir nim yella video nan nodidini yeno manku badidu nodona hantha download madidde e video nodi delete madidini sir thanks,Mixedfeelings
kannada,Bro nin ello hogbutte bedu bro,Positive
kannada,      national award winning actor          ,Positive
kannada,                   ,unknownstate
kannada,Swalpa jasti bildup ayitu annisutte,Negative
kannada, n  ,Positive
kannada,Super guru munduvarisi,Positive
kannada,Tik tok super app anna,Positive
kannada,Yan guru tik  tok  trolars mirisibite guru Tik Tok stars nin  video nodidre madiro videos muti muti nodkobeku Atara idea,Positive
kannada,HistorynBefore sanvinAfter shanvi,unknownstate
kannada,                                                     ,Negative
kannada,     ,Positive
kannada,Super song 100 days pakka,Positive
kannada,Punyathma andre evare,Positive
kannada,                ,Positive
kannada,Yudda maadabeku hogabaradu katukaraRASMIKA nmunde BHAGAVTHGEETHE,unknownstate
kannada,Trailer Kooda 6 dina Trending alli ittu,Positive
kannada,Insta link akiddini nodi brother,Positive
kannada,Promotion chennag madilla,Negative
kannada,Super tippa story,Positive
kannada,              ,Positive
kannada,         ,Positive
kannada,Kathe tumba ista aythu,Positive
kannada,Hanumanthappa H S q150,unknownstate
kannada,          ,Positive
kannada,Yaaru Film nodkobandu keltiroru like maadi,Positive
kannada,o my god wt a acting bro really my eyes are wet nice concept keep it up bro now a days alli avarage thumba bejar ago tara madatara jana naavu tilidu antavaru agi hag madidre hege heli naavu avara baavanegalige spandisibeku alva avaralli kuda thumba jana achive madidara tamil naadu alli oblu ips agidale enu bala jana ne edara pls frds avarage naavu supportive agirbeku alva nice concept anna,Positive
kannada,Super gelaya a nan sulege magalu chinadorage hutidale,Negative
kannada,shankarnag sir  uppi sir nantara obb uttama actor  director sikkidane nam kannada industry ge Rakshit shatty,Positive
kannada,Hands up ,unknownstate
kannada,         ,Positive
kannada,Sir naanu helabekiddanna thumba channagi helidira Nimma mathugalashte sumadura hrudaya sparshi agide Pls yelladru nodi 1 sala adru Olle anubhava beku antha iroru,Positive
kannada,     ,Positive
kannada,        ,Positive
kannada,sir in Mamata kotigobba,Positive
kannada,Shivu Patil,unknownstate
kannada,Hello Hindi song,unknownstate
kannada,I feel sandalwood have not lost shankarnag after seeing RS2,Positive
kannada,Nandi Parthasarathi nimmvga nimmkga ittini illi ninuge 50off ba,Mixedfeelings
kannada,Super video     ,Positive
kannada,Super  song,Positive
kannada,     ,Positive
kannada,     and  ,Positive
kannada,Yes bro tiktok ban agbeku,Positive
kannada,Anna super agi edit madidiya,Positive
kannada,                      ,Negative
kannada,Move chenagi irli hero ge olledagli  tumbane kasta padta I dareP,Positive
kannada,Pakka Engeneering Mind Bro Song,Positive
kannada,        ,Positive
kannada,    nn                  ,Negative
kannada,TROLL MONSTERKANNADA adikke hendhi kivi na hardu jail ge hoda sule maga yaruu,Negative
kannada,Hands up nahi Hands down,unknownstate
kannada,Sir prajakeeyakke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide,Positive
kannada,Wow  diya soop,Positive
kannada,Moorne kgf 2,unknownstate
kannada,      ,Positive
kannada,Tiktok byan agiddu olledu aythu anna,Positive
kannada,Supar sangs ,Positive
kannada,Yarige e trailer nodidre Rangitharanga movie nenpaytu like madi,Positive
kannada,Bossu niv greatu,Positive
kannada,sathish chandra Naan kelv comment noDidakke heliddu,Mixedfeelings
kannada,   ,Positive
kannada,Song is amazing,Positive
kannada,BGM chindi,Positive
kannada,Best film ide sirr love u alla   film        link     supper sir,Positive
kannada,Bro aa game  name  heli,Mixedfeelings
kannada,Raja Vishnuvardhana yarge agli 1st respect kododu mukya,Mixedfeelings
kannada,  ,unknownstate
kannada,Defenetely rakshit shetty,Mixedfeelings
kannada,Idu yava game bro,Mixedfeelings
kannada,Super agi helidi anna,Positive
kannada,Lifestyle super guru,Positive
kannada,Adre ivaga beda Ee COVID19 ella mugibeku,Positive
kannada,Yappa huchhu hidustideasnawesom,Positive
kannada,           nOdeya movie       ,Negative
kannada,    3        3        ,Negative
kannada,Difirent music  lirics,unknownstate
kannada,   subscribe   ,unknownstate
kannada,  sir is  back,Positive
kannada,       ,Positive
kannada,         ,Positive
kannada,niddeburak thumba ne strong iddane guru,Positive
kannada,   n  ,Positive
kannada,Super anna yenu thappila yela sari agi hellidira super,Positive
kannada,sharath sharu nin ammun tullge nayi mari tunne sigaka yako sule magne nin dagar sule maga adung adtiya,Negative
kannada,Vijay prakash sir super voice,Positive
kannada,Thu Gaandu Ninobba gandsa,Negative
kannada,Movie is too good,Positive
kannada,Anna super Anna,Positive
kannada,ravi chandra  ,unknownstate
kannada,               ,Negative
kannada,      ,Positive
kannada,        5  6    ,Positive
kannada,AJITH S SHETTY appreciate madtaidane guru,Negative
kannada,100   month or day haa anna,Positive
kannada,Nakkan idhu subject Andre eevag heltheeni industry change aagthide Thousand times better than Jaatre films of sarjas,Positive
kannada,Balasiddare Sir hands up anta,Mixedfeelings
kannada,Rama rama tusu daksha jaripa,Positive
kannada,            ,Positive
kannada,Ganesh Bhat              ,Negative
kannada,I hope salmaan vai didnt watch it,unknownstate
kannada,Rohith K le nin dagar bandli agtavne modlu kudlu olskoloke yelu ella nin avnu musodilla,Negative
kannada,       ,Positive
kannada,Reginald Kelly         ,Negative
kannada,Howdu brother nanu tv nalli nodidde evru elidnella avru elidru,Mixedfeelings
kannada,HAI NANOO KOODA BHARATHnNANGU ASTE NIDDE ONDU DODDA KAYILEAGIDE,Positive
kannada,Sir modalu namm Deshadalli Tustikaran rajakarana irorvaregu namm paristiti ide,Positive
kannada,Instagram fallow back kodi Nev obre alla eradu,Negative
kannada,Ashwathama ge korona bandru bandirabahudu,Mixedfeelings
kannada,Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,Negative
kannada,      ,Positive
kannada,Nam oorigu  bandidda Nanu chicken biryani tinsi  kalsde,unknownstate
kannada,Rajashekar Khandare           ,Positive
kannada,Keli kadiruva bandhavarennBhuviyalli avana aritavarennYarilla bidi,unknownstate
kannada,       ,Positive
kannada,Super song guru,Positive
kannada,         theater li nI feel guilty,Mixedfeelings
kannada,Jaathigalu ee deshada belavanigege athi dodda thodakaagide,Negative
kannada,Super conceptnReally Prajwal Devaraj eetara cinema select madi madtare ankondirlilla super concept,Positive
kannada,Heliro prati ondu point super brooo adrallu yaro obba yallo eno agidakke tiktok ban madavre anta helidnalla avnige saryagi uttara kottidira super nivu,Negative
kannada,Hodtha Guru sng,Positive
kannada,Hahah baari guru,Mixedfeelings
kannada,U r great sir  ,Positive
kannada,First India na America ke compare madtidru alli hangide ingide anta ivaga India na China compare madtavre nnNav bari compare madtivi vartu namunyaru compare modo hage hogalla,Negative
kannada,       ,Positive
kannada,En bgm guru chindi,Negative
kannada,Game name pls bro,Mixedfeelings
kannada,Avalige chapalige odiri,Negative
kannada,Nam indiadallu tic tok thara app kandidobodu thane,Mixedfeelings
kannada,Jai Hind  jai Karnatakan               AndnSuper song bro,Positive
kannada,                                                 ,Negative
kannada,         ,Positive
kannada,Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,Mixedfeelings
kannada,Sir social media bittu horgade thumba publicity beku dayavitu madi,Mixedfeelings
kannada,Super super bro ,unknownstate
kannada,              ,Positive
kannada,Most super song,Positive
kannada,U missed duniyaa movie,unknownstate
kannada,Tik Tok tune hunkondh hoeyhu Tik Tok madhuru china avaradhu tune unri,Negative
kannada,KGF chaffer 2 bega bara beku,Positive
kannada,Rakshit shetty Future superstar annoru Like madi,unknownstate
kannada,VARAPRASAD K K balegaara banda nin Amman ge bale idsakke dagaar banda nin Amman keyyakke soole magne,Negative
